Comment,Cleaned,Polarity,Sentiment
Bhaiya aap Daru Peete Ho aapki Daru Ki Botal Piche dikh rahi hai aap Peete ho kya Sach Sach batana aur han shaadi kab kar rahe ho yah bhi ISI video mein Hi bataaoge Na aur bhai mera comment aapko Agar Achcha Nahin Laga to mat padhna aur Agar Achcha Lage to video main Le le na,bhaiya aap daru peete ho aapki daru ki botal piche dikh rahi hai aap peete ho kya sach sach batana aur han shaadi kab kar rahe ho yah bhi isi video mein hi bataaoge na aur bhai mera comment aapko agar achcha nahin laga to mat padhna aur agar achcha lage to video main le le na,0.16666666666666666,Positive
ट्रिगर्ड भैया आप एक बार आपकी शादी का वीडियो डाल दो ना प्लीज प्लीज प्लीज मैं आपके हाथ जोड़ता हूं पर करता हूं प्लीजडाउनलोड,,0.0,Neutral
Main 9 sal ki hun aur main 35 kilo ke dumbbel bahut aasani se Utha sakti hun,main 9 sal ki hun aur main 35 kilo ke dumbbel bahut aasani se utha sakti hun,0.16666666666666666,Positive
"Nischay bhayia why are you not posting the haldi vlog or functions vlogs plz posts we are waiting i see again this vlog to comment 
I comment you on 12 june plz 😊😊😊","nischay bhayia why are you not posting the haldi vlog or functions vlogs plz posts we are waiting i see again this vlog to comment 
i comment you on 12 june plz",0.0,Neutral
Swimming pool ka jal para😂,swimming pool ka jal para,0.0,Neutral
Hi bro me apka bahut bda bhai jesa merse milo OR esa nhi dkha muki karu to kartar Nagar Delhi me apna meet rak sakte ho pls Delhi 53 ❤❤❤❤❤❤ meri mummy bi apki janti or ek Focus be Lana 😅❤❤❤❤🎉,hi bro me apka bahut bda bhai jesa merse milo or esa nhi dkha muki karu to kartar nagar delhi me apna meet rak sakte ho pls delhi 53  meri mummy bi apki janti or ek focus be lana,0.0,Neutral
Happy marriage 🎉🎉beta shadi ka mithaee mere liye bhejo n,happy marriage beta shadi ka mithaee mere liye bhejo n,0.15000000000000002,Positive
😂😂😂,,0.0,Neutral
Aapka shaasi ka vloggggg,aapka shaasi ka vloggggg,0.0,Neutral
Now share videos 😂,now share videos,0.0,Neutral
Jiju❤,jiju,0.0,Neutral
Omg you are getting married💍,omg you are getting married,0.25,Positive
Vote for nishchay wedding video,vote for nishchay wedding video,0.0,Neutral
"Watching on 12th June 
CONGRATULATIONS🎉❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉","watching on 12th june 
congratulations",0.0,Neutral
"Watching on 12th June 
CONGRATULATIONS🎉❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉","watching on 12th june 
congratulations",0.0,Neutral
Shaadi ka vlog kab daloge humko bhi dekh na hai please 🥺😊,shaadi ka vlog kab daloge humko bhi dekh na hai please,0.0,Neutral
"His videos will get hiked views for this marriage, at the end of 2025 he will have to face downfall in his views.
In 2026 he would join any company and will get to his work","his videos will get hiked views for this marriage at the end of 2025 he will have to face downfall in his views
in 2026 he would join any company and will get to his work",0.0,Neutral
Aapki jodi achi nahi lagti,aapki jodi achi nahi lagti,0.0,Neutral
Kajukatli ka face dikhado,kajukatli ka face dikhado,0.0,Neutral
Bhaiya Airtel Mujhe Dena chahie tha Kyunki Main left hand se likhta hun masari Kamble friends karta hun why my lifting,bhaiya airtel mujhe dena chahie tha kyunki main left hand se likhta hun masari kamble friends karta hun why my lifting,0.08333333333333333,Neutral
I am watching it on 9 june   and today was my exam  fans from kasauli like,i am watching it on 9 june   and today was my exam  fans from kasauli like,0.0,Neutral
Swimming ❌ nagin dance ✔️,swimming  nagin dance,0.0,Neutral
"Happy shadi 
❤❤❤❤😂😂😂😂😂😂😂",happy shadi,0.8,Positive
I am Birthday 6-6-2014😊,i am birthday 662014,0.0,Neutral
Wedding volgg,wedding volgg,0.0,Neutral
Hay nishchay bhaiya I am your big fan,hay nishchay bhaiya i am your big fan,0.0,Neutral
Bacharach kab kar raha ho😂😂😂😊,bacharach kab kar raha ho,0.0,Neutral
Mere bhai ka birthday bhi 22 may ko aaya h,mere bhai ka birthday bhi 22 may ko aaya h,-0.5,Negative
9th ko meri bhi shadi huyi hai😮🎉😂❤❤,9th ko meri bhi shadi huyi hai,0.0,Neutral
Next video,next video,0.0,Neutral
I am very excited,i am very excited,0.48750000000000004,Positive
Bhaiya Shadi ki video dalo,bhaiya shadi ki video dalo,0.0,Neutral
Nice bro,nice bro,0.6,Positive
Wedding vlog kab aayega ❤❤,wedding vlog kab aayega,0.0,Neutral
BHAI KI SHADI HAI SAB KHANA KHA KE JA NA☠️,bhai ki shadi hai sab khana kha ke ja na,0.0,Neutral
Congratulations brother 🎉🎉🎉,congratulations brother,0.0,Neutral
😂😂😂😂😂,,0.0,Neutral
I’m literally crying rn like nishchay bhai is finally getting married. Congrats yrrr🎉🎉,im literally crying rn like nishchay bhai is finally getting married congrats yrrr,0.016666666666666663,Neutral
Please reply me black pink girl,please reply me black pink girl,-0.13333333333333333,Negative
Bhai please new Shadi video post Karo 🙏,bhai please new shadi video post karo,0.13636363636363635,Positive
Triggered Insan aap shaadi ka block kyon nahin daloge aap jaldi dal do aap mere sawal ka jawab denge,triggered insan aap shaadi ka block kyon nahin daloge aap jaldi dal do aap mere sawal ka jawab denge,-0.5,Negative
Bhaiya abhi channel per game kyon nahin khelte hain,bhaiya abhi channel per game kyon nahin khelte hain,-0.4,Negative
Bhai ab shadi ki video kb aayegi???????,bhai ab shadi ki video kb aayegi,0.0,Neutral
Didi aur bhaiya apni shaadi ka vlog kab daloge mei aapke saare vlogs dekhti hu ❤ Congratulations 🎉🎉👏👏,didi aur bhaiya apni shaadi ka vlog kab daloge mei aapke saare vlogs dekhti hu  congratulations,0.0,Neutral
Nischay bhai..... marriage vlog jaldi do na❤we all r waiting 😊,nischay bhai marriage vlog jaldi do nawe all r waiting,0.0,Neutral
Pls daily vlog laiye,pls daily vlog laiye,0.0,Neutral
😂😂,,0.0,Neutral
"congretulation both are.
i wish you make your life very happy.
and hamesha ase hi kosh rehna😊😊😊😊","congretulation both are
i wish you make your life very happy
and hamesha ase hi kosh rehna",1.0,Positive
So good 😊😊😊,so good,0.7,Positive
1:05😂😂😂😂♥️♥️😊😊🥰😍🤩🤩😘😘😆😆😆😄😄😄😀😀the voice 😂😂❤❤,105the voice,0.0,Neutral
Abhishek Bhai bada baiya lakta ha or nishay bhai chota bhiya lagta ha😅,abhishek bhai bada baiya lakta ha or nishay bhai chota bhiya lagta ha,0.0,Neutral
My happy birthday is on 9 june,my happy birthday is on 9 june,0.8,Positive
Bhai mere papa ka birthday tha 9th of June ko,bhai mere papa ka birthday tha 9th of june ko,-0.5,Negative
Aapka shaadi wala vlog pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls bhaiya  🙏🙏🙏🙏🙏,aapka shaadi wala vlog pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls bhaiya,0.0,Neutral
(⁠・⁠o⁠・⁠),o,0.0,Neutral
Shaddi blog,shaddi blog,0.0,Neutral
Bhiya video to dalo saadi ka please bhabhi ji ko najar na lge🧿,bhiya video to dalo saadi ka please bhabhi ji ko najar na lge,0.0,Neutral
Triggu Bhaiya abb to shadi ka vlog dal do ❤Shaadi bhi ho gyi,triggu bhaiya abb to shadi ka vlog dal do shaadi bhi ho gyi,0.0,Neutral
On 9 is my birthday,on 9 is my birthday,0.0,Neutral
Wedding vlog or video plssss,wedding vlog or video plssss,0.0,Neutral
"Bhai shaddi par nhi bulayaaa 
Dil tode diya apne","bhai shaddi par nhi bulayaaa 
dil tode diya apne",0.0,Neutral
Kaju katli be felling jealousy after seeing this video 🌚🌚😅,kaju katli be felling jealousy after seeing this video,0.0,Neutral
Mera birthday 10 may ko tha birthday gift me pin kar do please bhai,mera birthday 10 may ko tha birthday gift me pin kar do please bhai,0.0,Neutral
😢Thanks for 295 subscriber 🎉❤❤❤❤❤❤❤❤❤😢,thanks for 295 subscriber,0.2,Positive
"Mummy piche hi khadi thi dikh rh tha to bhi 
Mummy ne like:› puri darr gai main chok gai main 😲😨😰 
Juth bolne ki bhi had hoti hai😅
Just for fun😅","mummy piche hi khadi thi dikh rh tha to bhi 
mummy ne like puri darr gai main chok gai main  
juth bolne ki bhi had hoti hai
just for fun",0.2111111111111111,Positive
Bhaiyya shadi ki vlog release kardo na vurna me nahi dekh sakti me hostel ko jari ma hostel mobile allow nhi hey😢,bhaiyya shadi ki vlog release kardo na vurna me nahi dekh sakti me hostel ko jari ma hostel mobile allow nhi hey,0.0,Neutral
"Bro,s face 💀
Bro,s. Voice💀
Bro,s content💀
Bro,s video💀
Bro,s Hardwork💀
Bro,s cute ness 💀🫶🏻
Bro,s quality💀
Bro,s Gameplay💀
Bro,s post💀
Bro,s Mind 💀
Bro,s Knowledgeable 💀
Bro in past 💀
Bro is now 💀
Bro in future 💀
Bro,s live 💀
Bro,s short💀
Bro,s cricket💀
Bro,s Football💀
Bro,s badminton 💀
Bro,s all sports💀
All things about bro 💀","bros face 
bros voice
bros content
bros video
bros hardwork
bros cute ness 
bros quality
bros gameplay
bros post
bros mind 
bros knowledgeable 
bro in past 
bro is now 
bro in future 
bros live 
bros short
bros cricket
bros football
bros badminton 
bros all sports
all things about bro",0.07727272727272727,Neutral
Bhai bhinchak pooja pa new video bano,bhai bhinchak pooja pa new video bano,0.13636363636363635,Positive
Congratulations ❤❤❤,congratulations,0.0,Neutral
Yar plz.  Shadi ke vlog dal do plzz plZ I AM. REALLY WAITING FOR YOUR VLOGS. PLZ AND BEST WISHES ALSOO. AND CONGRATULATIONS ❤❤❤,yar plz  shadi ke vlog dal do plzz plz i am really waiting for your vlogs plz and best wishes alsoo and congratulations,0.6,Positive
bhaiya ke shikanji,bhaiya ke shikanji,0.0,Neutral
bhaiya ke shikanji,bhaiya ke shikanji,0.0,Neutral
5:55 jalpari ❎ Jalpari ✅😂😂,555 jalpari  jalpari,0.0,Neutral
Vaise bhaiya ap daru pi te ho ki ap ke papa😂😊😅,vaise bhaiya ap daru pi te ho ki ap ke papa,0.0,Neutral
Bhaiya 3 din hogye shaddi huye abb idhr bhi aajao shaadi shuda triggu bnke aur rasmali bhabhi aap bhi,bhaiya 3 din hogye shaddi huye abb idhr bhi aajao shaadi shuda triggu bnke aur rasmali bhabhi aap bhi,0.0,Neutral
Part 2 pls❤,part 2 pls,0.0,Neutral
Nonu  bhaiya pagal zone ne  apki shadi ek drama hai  yeh video banaya please watch her that,nonu  bhaiya pagal zone ne  apki shadi ek drama hai  yeh video banaya please watch her that,0.0,Neutral
Fokus is not available at marastra ❤😊 0:52 0:53,fokus is not available at marastra  052 053,-0.2,Negative
Congratulations My favourite YouTuberss❤,congratulations my favourite youtuberss,0.0,Neutral
Nishchay bhaiya I am waiting till 9th June because I know what's on that day😅,nishchay bhaiya i am waiting till 9th june because i know whats on that day,0.0,Neutral
Bhai wedding video daal do taki logo se pahale aap bata do,bhai wedding video daal do taki logo se pahale aap bata do,0.0,Neutral
